FlightDate,DayOfWeek,Reporting_Airline,Flight_Number_Reporting_Airline,Dest,DestCityName,CRSDepTime,DepDelay,CRSArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2025-07-01,2,AA,1064,ORD,"Chicago, IL",0601,-4.00,0850,-8.00,0.00,,0.00,130.00,977.00,,,,,
2025-07-02,3,AA,1064,ORD,"Chicago, IL",0601,-7.00,0850,-6.00,0.00,,0.00,131.00,977.00,,,,,
2025-07-03,4,AA,1064,ORD,"Chicago, IL",0601,-5.00,0848,-11.00,0.00,,0.00,136.00,977.00,,,,,
2025-07-05,6,AA,1064,ORD,"Chicago, IL",0600,0.00,0850,22.00,0.00,,0.00,141.00,977.00,0.00,0.00,22.00,0.00,0.00
2025-07-06,7,AA,1064,ORD,"Chicago, IL",0600,-11.00,0850,-6.00,0.00,,0.00,142.00,977.00,,,,,
2025-07-07,1,AA,1064,ORD,"Chicago, IL",0600,-13.00,0850,-21.00,0.00,,0.00,137.00,977.00,,,,,
2025-07-08,2,AA,1064,ORD,"Chicago, IL",0600,-10.00,0850,4.00,0.00,,0.00,134.00,977.00,,,,,
2025-07-09,3,AA,1064,ORD,"Chicago, IL",0600,-6.00,0850,-21.00,0.00,,0.00,133.00,977.00,,,,,
2025-07-10,4,AA,1064,ORD,"Chicago, IL",0600,29.00,0850,14.00,0.00,,0.00,127.00,977.00,,,,,
2025-07-11,5,AA,1064,ORD,"Chicago, IL",0600,,0850,,1.00,B,0.00,,977.00,,,,,
2025-07-12,6,AA,1064,ORD,"Chicago, IL",0600,0.00,0850,1.00,0.00,,0.00,137.00,977.00,,,,,
2025-07-13,7,AA,1064,ORD,"Chicago, IL",0600,,0850,,1.00,B,0.00,,977.00,,,,,
2025-07-14,1,AA,1064,ORD,"Chicago, IL",0600,2.00,0850,-3.00,0.00,,0.00,135.00,977.00,,,,,
2025-07-15,2,AA,1064,ORD,"Chicago, IL",0600,34.00,0850,29.00,0.00,,0.00,127.00,977.00,29.00,0.00,0.00,0.00,0.00
2025-07-16,3,AA,1064,ORD,"Chicago, IL",0600,-6.00,0850,-2.00,0.00,,0.00,131.00,977.00,,,,,
2025-07-17,4,AA,1064,ORD,"Chicago, IL",0600,,0850,,1.00,A,0.00,,977.00,,,,,
2025-07-18,5,AA,1064,ORD,"Chicago, IL",0600,-8.00,0850,-19.00,0.00,,0.00,126.00,977.00,,,,,
2025-07-19,6,AA,1064,ORD,"Chicago, IL",0600,-6.00,0850,-4.00,0.00,,0.00,144.00,977.00,,,,,
2025-07-20,7,AA,1064,ORD,"Chicago, IL",0600,287.00,0850,284.00,0.00,,0.00,139.00,977.00,284.00,0.00,0.00,0.00,0.00
2025-07-21,1,AA,1064,ORD,"Chicago, IL",0600,-11.00,0850,-22.00,0.00,,0.00,136.00,977.00,,,,,
2025-07-22,2,AA,1064,ORD,"Chicago, IL",0600,-8.00,0850,-3.00,0.00,,0.00,126.00,977.00,,,,,
2025-07-23,3,AA,1064,ORD,"Chicago, IL",0600,370.00,0850,351.00,0.00,,0.00,126.00,977.00,351.00,0.00,0.00,0.00,0.00
2025-07-24,4,AA,1064,ORD,"Chicago, IL",0600,-8.00,0850,-18.00,0.00,,0.00,128.00,977.00,,,,,
2025-07-25,5,AA,1064,ORD,"Chicago, IL",0600,-6.00,0850,-15.00,0.00,,0.00,126.00,977.00,,,,,
2025-07-26,6,AA,1064,ORD,"Chicago, IL",0600,5.00,0850,5.00,0.00,,0.00,149.00,977.00,,,,,
2025-07-27,7,AA,1064,ORD,"Chicago, IL",0600,-10.00,0850,-19.00,0.00,,0.00,133.00,977.00,,,,,
2025-07-28,1,AA,1064,ORD,"Chicago, IL",0600,-8.00,0850,31.00,0.00,,0.00,170.00,977.00,0.00,0.00,31.00,0.00,0.00
2025-07-29,2,AA,1064,ORD,"Chicago, IL",0600,-8.00,0850,-21.00,0.00,,0.00,129.00,977.00,,,,,
2025-07-30,3,AA,1064,ORD,"Chicago, IL",0600,-6.00,0850,8.00,0.00,,0.00,154.00,977.00,,,,,
2025-07-31,4,AA,1064,ORD,"Chicago, IL",0600,-6.00,0850,-23.00,0.00,,0.00,126.00,977.00,,,,,
2025-07-01,2,AA,1114,PHL,"Philadelphia, PA",1255,-5.00,1729,43.00,0.00,,0.00,203.00,1431.00,0.00,0.00,43.00,0.00,0.00
2025-07-02,3,AA,1114,PHL,"Philadelphia, PA",1255,-1.00,1729,-3.00,0.00,,0.00,183.00,1431.00,,,,,
2025-07-03,4,AA,1114,PHL,"Philadelphia, PA",1255,4.00,1729,45.00,0.00,,0.00,208.00,1431.00,0.00,4.00,41.00,0.00,0.00
2025-07-04,5,AA,1114,PHL,"Philadelphia, PA",1255,-4.00,1729,-10.00,0.00,,0.00,194.00,1431.00,,,,,
2025-07-05,6,AA,1114,PHL,"Philadelphia, PA",1309,147.00,1744,146.00,0.00,,0.00,191.00,1431.00,146.00,0.00,0.00,0.00,0.00
2025-07-06,7,AA,1114,PHL,"Philadelphia, PA",1238,-2.00,1714,-6.00,0.00,,0.00,190.00,1431.00,,,,,
2025-07-07,1,AA,1114,PHL,"Philadelphia, PA",1238,6.00,1714,-7.00,0.00,,0.00,190.00,1431.00,,,,,
2025-07-08,2,AA,1114,PHL,"Philadelphia, PA",1238,-5.00,1714,-15.00,0.00,,0.00,181.00,1431.00,,,,,
2025-07-09,3,AA,1114,PHL,"Philadelphia, PA",1238,187.00,1714,,0.00,,1.00,,1431.00,,,,,
2025-07-10,4,AA,1114,PHL,"Philadelphia, PA",1238,7.00,1714,-5.00,0.00,,0.00,189.00,1431.00,,,,,
2025-07-11,5,AA,1114,PHL,"Philadelphia, PA",1238,-9.00,1714,19.00,0.00,,0.00,190.00,1431.00,0.00,0.00,19.00,0.00,0.00
2025-07-12,6,AA,1114,PHL,"Philadelphia, PA",1309,49.00,1744,65.00,0.00,,0.00,190.00,1431.00,8.00,0.00,16.00,0.00,41.00
2025-07-13,7,AA,1114,PHL,"Philadelphia, PA",1238,81.00,1714,115.00,0.00,,0.00,218.00,1431.00,0.00,76.00,34.00,0.00,5.00
2025-07-14,1,AA,1114,PHL,"Philadelphia, PA",1238,,1714,,1.00,B,0.00,,1431.00,,,,,
2025-07-15,2,AA,1114,PHL,"Philadelphia, PA",1238,1.00,1714,-13.00,0.00,,0.00,186.00,1431.00,,,,,
2025-07-16,3,AA,1114,PHL,"Philadelphia, PA",1238,-9.00,1714,4.00,0.00,,0.00,198.00,1431.00,,,,,
2025-07-17,4,AA,1114,PHL,"Philadelphia, PA",1238,235.00,1714,235.00,0.00,,0.00,190.00,1431.00,235.00,0.00,0.00,0.00,0.00
2025-07-18,5,AA,1114,PHL,"Philadelphia, PA",1238,47.00,1714,47.00,0.00,,0.00,195.00,1431.00,35.00,0.00,0.00,0.00,12.00
2025-07-19,6,AA,1114,PHL,"Philadelphia, PA",1309,35.00,1744,33.00,0.00,,0.00,184.00,1431.00,33.00,0.00,0.00,0.00,0.00
2025-07-20,7,AA,1114,PHL,"Philadelphia, PA",1238,9.00,1714,25.00,0.00,,0.00,207.00,1431.00,9.00,0.00,16.00,0.00,0.00
2025-07-21,1,AA,1114,PHL,"Philadelphia, PA",1238,76.00,1714,66.00,0.00,,0.00,189.00,1431.00,4.00,0.00,0.00,0.00,62.00
2025-07-22,2,AA,1114,PHL,"Philadelphia, PA",1238,-12.00,1714,-11.00,0.00,,0.00,180.00,1431.00,,,,,
2025-07-23,3,AA,1114,PHL,"Philadelphia, PA",1238,-5.00,1714,-18.00,0.00,,0.00,181.00,1431.00,,,,,
2025-07-24,4,AA,1114,PHL,"Philadelphia, PA",1238,-6.00,1714,-24.00,0.00,,0.00,184.00,1431.00,,,,,
2025-07-25,5,AA,1114,PHL,"Philadelphia, PA",1238,8.00,1714,43.00,0.00,,0.00,207.00,1431.00,6.00,0.00,35.00,0.00,2.00
2025-07-26,6,AA,1114,PHL,"Philadelphia, PA",1309,-3.00,1744,-16.00,0.00,,0.00,182.00,1431.00,,,,,
2025-07-27,7,AA,1114,PHL,"Philadelphia, PA",1238,-5.00,1714,44.00,0.00,,0.00,235.00,1431.00,0.00,0.00,44.00,0.00,0.00
2025-07-28,1,AA,1114,PHL,"Philadelphia, PA",1238,22.00,1714,7.00,0.00,,0.00,183.00,1431.00,,,,,
2025-07-29,2,AA,1114,PHL,"Philadelphia, PA",1238,7.00,1714,1.00,0.00,,0.00,185.00,1431.00,,,,,
2025-07-30,3,AA,1114,PHL,"Philadelphia, PA",1238,9.00,1714,2.00,0.00,,0.00,192.00,1431.00,,,,,
2025-07-31,4,AA,1114,PHL,"Philadelphia, PA",1238,77.00,1714,89.00,0.00,,0.00,183.00,1431.00,0.00,77.00,12.00,0.00,0.00
2025-07-01,2,AA,1161,CLT,"Charlotte, NC",1751,362.00,2145,342.00,0.00,,0.00,129.00,1032.00,0.00,0.00,0.00,0.00,342.00
2025-07-02,3,AA,1161,CLT,"Charlotte, NC",1751,1.00,2145,-14.00,0.00,,0.00,129.00,1032.00,,,,,
2025-07-03,4,AA,1161,CLT,"Charlotte, NC",1751,12.00,2145,11.00,0.00,,0.00,151.00,1032.00,,,,,
2025-07-06,7,AA,1161,CLT,"Charlotte, NC",1746,84.00,2144,69.00,0.00,,0.00,135.00,1032.00,0.00,69.00,0.00,0.00,0.00
2025-07-07,1,AA,1161,CLT,"Charlotte, NC",1746,-6.00,2144,3.00,0.00,,0.00,152.00,1032.00,,,,,
2025-07-08,2,AA,1161,CLT,"Charlotte, NC",1746,29.00,2144,23.00,0.00,,0.00,146.00,1032.00,15.00,0.00,0.00,0.00,8.00
2025-07-09,3,AA,1161,CLT,"Charlotte, NC",1746,,2144,,1.00,B,0.00,,1032.00,,,,,
2025-07-10,4,AA,1161,CLT,"Charlotte, NC",1746,10.00,2144,-9.00,0.00,,0.00,131.00,1032.00,,,,,
2025-07-11,5,AA,1161,CLT,"Charlotte, NC",1746,-2.00,2144,-1.00,0.00,,0.00,138.00,1032.00,,,,,
2025-07-12,6,AA,1161,CLT,"Charlotte, NC",1749,12.00,2145,9.00,0.00,,0.00,137.00,1032.00,,,,,
